word	onset	duration
Joey	0.01247	0.0898
Oh	0.10227	0.0299
my	0.1322	1.3768
God	2.47687	1.9356
Okay	5.38027	0.5587
So	7.22608	0.4090
uh	9.73039	0.4589
I	10.18934	0.0299
guess	10.6483	0.6784
we	14.13039	2.0553
should	16.18571	7.1138
make	23.36939	1.7560
it	26.77166	0.4489
official	29.36576	0.8680
huh	31.07188	1.0675
Uh	33.75578	0.2294
look	35.00295	0.1795
Rach	35.18254	0.4489
I	36.92857	0.2294
Hey	37.15805	0.2893
Ross	37.44739	0.6385
is	38.08594	0.1696
here	38.25556	0.5188
Hey	39.08367	0.9578
look	40.14127	0.0898
It's	40.23107	0.0997
my	40.33084	0.0798
good	40.41066	0.0897
friend	40.50045	0.2594
Ross	40.75986	0.4390
Hey	41.19887	0.1496
Ross	41.34853	0.3292
Hey	42.52585	0.1496
Joey	42.67551	0.5188
Hey	43.39388	2.4045
you	45.95805	0.2993
Hey	46.30726	0.5287
you	46.83605	0.0798
Look	46.91587	0.5188
And	47.43469	0.1895
he	47.62426	0.0898
brought	47.71406	0.3392
flowers	48.05329	1.0276
Oh	49.17075	0.1696
thanks	49.44014	0.4390
Ross	49.89909	0.2693
I'm	50.16848	0.1297
really	50.29819	0.1496
more	50.44785	0.1795
of	50.62744	0.0798
a	50.70726	0.0299
candy	50.73719	0.4090
kind	51.14626	0.3192
of	51.46553	0.2294
guy	51.69501	1.8158
You're	54.8678	0.1297
weird	54.99751	0.2893
today	55.28685	0.3591
Listen	55.86553	0.1596
I	56.02517	0.4090
uh	56.43424	0.0898
I	56.52404	0.4090
wanted	56.93311	1.5764
to	58.57937	0.5786
talk	59.80658	0.2494
to	60.05601	0.1696
you	60.29546	0.1496
about	60.51497	0.3092
something	60.82426	0.4689
Yeah	61.94172	0.3891
actually	62.33084	0.5288
I	62.85964	0.0299
kind	62.88957	0.1895
of	63.07914	0.1696
need	63.24875	0.3392
to	63.67778	0.0698
talk	63.74762	0.1097
to	63.85737	0.0698
you	63.92721	0.1396
too	64.06689	0.3591
Uh	65.51361	0.2693
Joey	65.78299	0.2494
can	66.03243	0.0897
you	66.12222	0.0997
give	66.222	0.1396
us	66.36168	0.1696
a	66.53129	0.0299
minute	66.56122	0.2893
No	67.11995	0.2494
What	67.7585	2.9532
I'm	71.53991	0.1496
sorry	71.68957	0.5188
I	72.20839	0.0698
meant	72.27823	0.2195
no	72.49773	0.2993
Hey	73.23605	2.7238
Look	76.10952	0.2095
who's	76.31905	0.1297
here	76.44875	0.4290
Where's	76.87778	1.2671
my	78.1449	0.1297
granddaughter	78.2746	0.7083
I've	78.98299	0.0798
been	79.06281	0.1197
practicing	79.18254	0.5288
my	79.71134	0.1396
magic	79.85102	0.4988
tricks	80.34989	0.5786
He	80.92857	0.5188
pulled	81.44739	0.2394
a	81.68685	0.0299
quarter	81.71678	0.3192
out	82.03605	0.1097
of	82.1458	0.0598
my	82.20567	0.2394
ear	82.44512	0.2394
Hey	83.0737	1.8557
where's	85.17891	0.4090
where's	85.58798	0.2594
Mom	85.84739	0.3292
She	86.17664	0.1696
went	86.34626	0.1496
to	86.49592	0.0598
pick	86.55578	0.1995
up	86.75533	0.1795
Aunt	86.93492	0.2095
Liddy	87.14444	0.3591
Oh	87.58345	0.1396
Aunt	87.72313	0.1596
Liddy's	87.88277	0.2893
coming	88.17211	0.3292
That	88.76077	0.1396
means	88.90045	0.1496
we	89.05011	0.0698
get	89.11995	0.1297
five	89.24966	0.2494
dollars	89.49909	0.4789
each	89.978	0.0798
So	90.05782	0.3292
when	90.38707	2.7337
do	93.12086	0.1396
I	93.26054	0.1197
get	93.38027	0.2394
